Part;Value;Device;Package;Description;THT/SMT;Manufacturer Part Nr.;Manufacturer;Distributor Part Nr.;Distributor;wird von uns bestellt/schon vorhanden;Bestückung durch Habemus
12VIN;TERMINAL;TERMINAL;TERMINAL;Schraubklemme zur Stromversorgung;THT;;;;;;
B1;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B2;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B3;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B4;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B5;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B6;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B7;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B8;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B9;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B10;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B11;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B12;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B13;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B14;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B15;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B16;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B17;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B18;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B19;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B20;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B21;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B22;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B23;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B24;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B25;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B26;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B27;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B28;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B29;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B30;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B31;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
B32;TSL2584TSV;TSL2584TSV;TSL2584TSV;I2C Light to Digital Converter;SMT;TSL2584TSV;ams;985-TSL2584;Mouser;;x
C1;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C2;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C3;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C4;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C5;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C6;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C7;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C8;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C9;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C10;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C11;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C12;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C13;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C14;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C15;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C16;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C17;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C18;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C19;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C20;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C21;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C22;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C23;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C24;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C25;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C26;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C27;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C28;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C29;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C30;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C31;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
C32;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;SMT;885012207072;Wurth Electronics;710-885012207072;Mouser;;x
D1;1N5404;1N5400;DO201-15;DIODE;THT;;;;;;
D2;GF1;GF1;SMA-DO214AC;DIODE;SMT;ES2BA;Taiwan Semiconductor;ES 2BA SMD;Reichelt;x;x
